label,ED,SC_W,SPE_W,COM,SI,NAV,DIF,response
7Networks_LH_Cont_Cing_1-lh,45.30780454179475,1.0,2129.118951795847,0.00029696172611832345,16.001269879086042,0.02207125262663163,0.0030005878459802345,0
7Networks_LH_Cont_Cing_2-lh,56.289608395521306,1.0,1772.0726522748294,0.00010019123514824809,16.001269879086042,0.0177652683773079,0.0019445563352948605,1
7Networks_LH_Cont_PFCl_1-lh,92.76624761401024,1.0,1527.9248488432218,6.648080127297256e-05,16.001269879086042,0.010779782795148574,0.0022633498995609487,1
7Networks_LH_Cont_PFCl_2-lh,94.17222123205224,1.0,1574.6735303019768,0.00010903366592653182,16.001269879086042,0.010618842657813855,0.0023851193104612585,1
7Networks_LH_Cont_PFCl_3-lh,92.56460211681191,1.0,1753.2833872038761,0.0001366379090775012,16.001269879086042,0.010803265796335946,0.0025356662572125926,0
7Networks_LH_Cont_PFCl_4-lh,75.10439887351255,1.0,1856.0551664411737,0.00024183888828589262,16.001269879086042,0.013314799332648345,0.0037517743090468595,0
7Networks_LH_Cont_PFCl_5-lh,59.88927532099942,1.0,2128.764238494811,0.0008189064896824633,16.001269879086042,0.016697480385930847,0.0037748660035663967,0
7Networks_LH_Cont_PFCl_6-lh,35.83967480899103,1.0,2691.671274480088,0.006607170086446169,16.001269879086042,0.02790203888092009,0.004174698143288467,1
7Networks_LH_Cont_Par_1-lh,27.989924647185557,1.0,1795.1207893133283,0.006871043189930205,16.001269879086042,0.03572714155557943,0.002327250620362824,0
7Networks_LH_Cont_Par_2-lh,36.89254154077529,918.6452220533795,2823.149051434931,0.02406365574702941,6.157905884604733,0.027105749786708384,0.003530041599126447,1
7Networks_LH_Cont_Par_3-lh,20.685756414868322,731.7946925774656,3002.5419990010264,0.041559975877257946,6.485974736902882,0.04834244298077633,0.0025702522652494004,1
7Networks_LH_Cont_Temp_1-lh,69.693904083864,1.0,1351.3840069334153,0.000593483033366208,16.001269879086042,0.014348457202177697,0.0028251530354230824,1
7Networks_LH_Cont_pCun_1-lh,55.506585393165736,1.0,1427.2454961383232,0.00011003906124471298,16.001269879086042,0.018015880330536874,0.002201600433854745,1
7Networks_LH_Default_PCC_1-lh,62.33059865190543,1.0,1616.0135991612826,6.047698906936366e-05,16.001269879086042,0.016043484606728227,0.003261825659672335,1
7Networks_LH_Default_PCC_2-lh,50.900143220898954,1.0,1589.4697571108627,6.571596134485731e-05,16.001269879086042,0.01964631014219647,0.002702472033839954,1
7Networks_LH_Default_PCC_3-lh,44.51205802234896,1.0,1562.4089786198974,9.811367548702409e-05,16.001269879086042,0.022465822620421464,0.001528468505666833,1
7Networks_LH_Default_PCC_4-lh,46.52568091469674,1.0,1391.6422357517338,8.15673214415677e-05,16.001269879086042,0.02149350595928872,0.002331659730067127,1
7Networks_LH_Default_PFC_1-lh,85.7803809745173,1.0,1770.6606996513237,0.00029894485722535287,16.001269879086042,0.011657677299160854,0.003364014911271852,0
7Networks_LH_Default_PFC_10-lh,70.53356655089837,1.0,2048.42026353444,6.18429463684575e-05,16.001269879086042,0.014177646883606558,0.004231932702769046,1
7Networks_LH_Default_PFC_11-lh,49.48837610306473,110.03516538256443,2199.286862324797,0.002945807534017775,9.219449030875202,0.02020676527993958,0.005175150741081592,1
7Networks_LH_Default_PFC_12-lh,55.90316394204516,1.0,2528.2595962384858,0.0005357914762494075,16.001269879086042,0.017888075190819263,0.004752746953822367,0
7Networks_LH_Default_PFC_13-lh,59.705820726537624,1.0,2490.630694220725,0.0005228278992924124,16.001269879086042,0.01674878576043972,0.006355991283282787,1
7Networks_LH_Default_PFC_2-lh,96.92080004830089,1.0,1500.877593737808,3.9124269555234565e-05,16.001269879086042,0.010317702696445405,0.0034127710283225177,1
7Networks_LH_Default_PFC_3-lh,85.6159055012362,1.0,1690.7637604408862,0.0001613117368263097,16.001269879086042,0.011680072693800583,0.0018933504190657294,1
7Networks_LH_Default_PFC_4-lh,115.97652917179347,1.0,1690.8314000953658,4.940734138241523e-05,16.001269879086042,0.0086224342730478,0.0052142714605315915,0
7Networks_LH_Default_PFC_5-lh,68.98815367921038,1.0,1765.5196264949623,0.0004302848238636896,16.001269879086042,0.014495242250574254,0.0029271208530222857,0
7Networks_LH_Default_PFC_6-lh,89.87607960067753,1.0,1632.7753626828012,4.585292064345148e-05,16.001269879086042,0.011126431019722199,0.0030839781816140986,1
7Networks_LH_Default_PFC_7-lh,102.65645739543618,1.0,1830.6564807428176,4.694737961424588e-05,16.001269879086042,0.009741228417302244,0.005368947326256431,0
7Networks_LH_Default_PFC_8-lh,73.33829485459204,1.0,1742.245971923637,5.361344196308319e-05,16.001269879086042,0.013635441101851383,0.0032373716261225095,0
7Networks_LH_Default_PFC_9-lh,82.22847383874426,1.0,2156.2523259524587,0.00015061011677169116,16.001269879086042,0.012161237504675926,0.0059394692480719555,0
7Networks_LH_Default_PHC_1-lh,72.46671320638755,1.0,1211.966419548185,6.039085762702002e-05,16.001269879086042,0.013799439159769363,0.002616869622385817,1
7Networks_LH_Default_Temp_1-lh,91.94313712750952,1.0,1516.149073140835,0.00022889293286630907,16.001269879086042,0.010876287575582393,0.0034165295672985664,0
7Networks_LH_Default_Temp_2-lh,75.27907029100764,1.0,1314.095518560893,0.0002419151363216672,16.001269879086042,0.01328390475778038,0.002577391729417352,1
7Networks_LH_Default_Temp_3-lh,69.94205989330125,1.0,1446.8732298032946,0.0004408274145424677,16.001269879086042,0.014297548592728476,0.0035604647243074475,0
7Networks_LH_Default_Temp_4-lh,62.146256353805086,1.0,1536.8634013821757,0.0006893004991950275,16.001269879086042,0.016091073842113612,0.003389719218468899,0
7Networks_LH_Default_Temp_5-lh,49.811016137628144,1.0,1645.8834078728612,0.0007176620309915995,16.001269879086042,0.020075880348174265,0.003447120558105255,0
7Networks_LH_Default_Temp_6-lh,49.671444286485055,1.0,1761.8382850938708,0.0010094832689546641,16.001269879086042,0.020132291588551347,0.003073727504573571,1
7Networks_LH_Default_Temp_7-lh,53.21284753869997,1.0,1773.1938869593475,0.0009191104024067739,16.001269879086042,0.018792454195816766,0.0039677338483087915,0
7Networks_LH_Default_Temp_8-lh,38.223567903907515,1.0,1620.6736852943045,0.001471300820762079,16.001269879086042,0.02616186962226967,0.0025274380036919403,1
7Networks_LH_Default_Temp_9-lh,40.69723356848748,433.15689219203006,1982.176519623523,0.008454068880180951,7.242524016345055,0.024571694739819266,0.004653623000599677,0
7Networks_LH_DorsAttn_FEF_1-lh,29.15662459310391,1.0,4488.238897462884,0.007586493239658074,16.001269879086042,0.0342975229113633,0.0039038554968735843,0
7Networks_LH_DorsAttn_FEF_2-lh,43.82803617196483,1.0,3579.1112790914863,0.0018480828167629251,16.001269879086042,0.022816445529897204,0.003927169723469343,1
7Networks_LH_DorsAttn_Post_1-lh,71.48351561973824,1.0,1376.113970947926,0.00021045469832438167,16.001269879086042,0.013989239215927386,0.004100637311905452,1
7Networks_LH_DorsAttn_Post_10-lh,37.11907010402141,1.0,2122.216736290183,0.008483250762201444,16.001269879086042,0.0269403300566967,0.003247972466779998,1
7Networks_LH_DorsAttn_Post_2-lh,64.94624436718101,1.0,1679.079801213156,0.0013630035765645706,16.001269879086042,0.015397349142259648,0.0036443694891311615,0
7Networks_LH_DorsAttn_Post_3-lh,45.85274135005257,1.0,2176.0622522235303,0.002437359128280622,16.001269879086042,0.021808946871152635,0.002666182700925782,0
7Networks_LH_DorsAttn_Post_4-lh,20.938866719600618,9382.485635317398,9382.485635317398,0.20880502616842517,2.805515418091049,0.047758076566002124,0.003797611035734512,0
7Networks_LH_DorsAttn_Post_5-lh,20.216936242727265,10095.045117210475,10095.045117210475,0.23156231654648277,2.6999101410979773,0.049463478936366274,0.002860980872694854,0
7Networks_LH_DorsAttn_Post_6-lh,26.79132481882156,1.0,3750.279005450606,0.028166967484415363,16.001269879086042,0.03732551513456608,0.0024980987273732448,1
7Networks_LH_DorsAttn_Post_7-lh,51.16315570735048,1.0,1915.9406413206552,0.0017930349981900903,16.001269879086042,0.019545315103703283,0.0036805768603858716,1
7Networks_LH_DorsAttn_Post_8-lh,34.688737550187604,1.0,2415.3916025709586,0.010118516142348238,16.001269879086042,0.028827800335864105,0.003031771450918001,1
7Networks_LH_DorsAttn_Post_9-lh,45.602157664117726,1.0,1452.349906379739,0.0003791709510185021,16.001269879086042,0.021928786952702783,0.002736254419056907,1
7Networks_LH_DorsAttn_PrCv_1-lh,41.79581782015365,1.0,2394.013585324215,0.004275187963525708,16.001269879086042,0.023925838807676278,0.0030903319570368877,1
7Networks_LH_Limbic_OFC_1-lh,89.80991852020408,1.0,1589.1910492594889,5.545986509435211e-05,16.001269879086042,0.011134627627738413,0.0028099217495314,1
7Networks_LH_Limbic_OFC_2-lh,103.67347416125872,1.0,1526.6893093863036,4.7629987161393266e-05,16.001269879086042,0.009645668847216906,0.004115383420527683,0
7Networks_LH_Limbic_TempPole_1-lh,91.17867181963378,1.0,1334.4110427947874,7.05915476124316e-05,16.001269879086042,0.010967477152750836,0.0028476813347019098,1
7Networks_LH_Limbic_TempPole_2-lh,80.21613893432357,1.0,1284.2388393491885,0.0001219287905008357,16.001269879086042,0.012466319287927127,0.0035408014890683215,1
7Networks_LH_Limbic_TempPole_3-lh,98.20977112776498,1.0,1518.333436651273,0.0001734150350568634,16.001269879086042,0.010182286227905575,0.0017369120845703862,0
7Networks_LH_Limbic_TempPole_4-lh,79.87060133838455,1.0,1883.7274990313756,0.0007339130690373807,16.001269879086042,0.012520251297011531,0.0023300413480235598,1
7Networks_LH_SalVentAttn_FrOper_1-lh,63.89927242650315,1.0,2111.733579135295,0.008202713153600884,16.001269879086042,0.015649630457845957,0.0060491415231826665,1
7Networks_LH_SalVentAttn_FrOper_2-lh,70.29404489169471,1.0,2058.6802743470294,0.000786857399280324,16.001269879086042,0.014225956146651487,0.003296972890312375,0
7Networks_LH_SalVentAttn_FrOper_3-lh,50.0777012006789,1.0,2740.092430954702,0.005285712806194378,16.001269879086042,0.01996896774459853,0.0031206085821243613,0
7Networks_LH_SalVentAttn_FrOper_4-lh,57.688069848057076,292.18875071623586,2393.683903588,0.0070050575863092514,7.8105130539430405,0.01733460666362856,0.003909263263709567,0
7Networks_LH_SalVentAttn_Med_1-lh,54.592866610234836,1.0,2236.4809020871135,0.00014379807596526462,16.001269879086042,0.01831741145119726,0.0042918714950358,1
7Networks_LH_SalVentAttn_Med_2-lh,30.90418025948566,1.0,2117.2589218276235,0.00038019300690746686,16.001269879086042,0.03235808203303054,0.0029118382192288984,0
7Networks_LH_SalVentAttn_Med_3-lh,45.26151338379894,1.0,2760.4231783258024,0.0007576416623835543,16.001269879086042,0.022093825973524415,0.004982164905760925,1
7Networks_LH_SalVentAttn_PFCl_1-lh,71.13272714720432,1.0,2201.085519507856,0.00041692872510374517,16.001269879086042,0.014058226643420662,0.004125088706216079,0
7Networks_LH_SalVentAttn_ParOper_1-lh,38.170119808298686,1.0,2005.0808468740915,0.003575440498270812,16.001269879086042,0.026198503044325964,0.002655422232476971,0
7Networks_LH_SalVentAttn_ParOper_2-lh,29.800326255219336,1892.9656400725892,4278.777553382833,0.05909783779477676,5.114837370042013,0.03355667959591068,0.003107992288576059,0
7Networks_LH_SalVentAttn_ParOper_3-lh,23.374558777660397,193.6011277537811,2640.5550944578063,0.015181168003740829,8.40432633277294,0.04278155620014197,0.0022016149311733743,0
7Networks_LH_SomMot_1-lh,58.08925880824489,1.0,1914.6865454778147,0.0014850269503173222,16.001269879086042,0.01721488654728824,0.0025483710129810383,1
7Networks_LH_SomMot_10-lh,5.637000571832207,18820.46273040558,18820.46273040558,0.3109416175610473,1.80125540012824,0.1773993078867061,0.005658688572719655,1
7Networks_LH_SomMot_11-lh,24.675874358246386,2578.337266998799,3584.509694874715,0.08382142390308754,4.669044602407323,0.040525413020098794,0.0029679387504027957,1
7Networks_LH_SomMot_12-lh,17.688633994253912,3989.0165467836505,12161.450525112577,0.13209415513877348,4.03945248656338,0.05653347795679679,0.0055797085105907755,1
7Networks_LH_SomMot_13-lh,22.717852881412075,4821.787553430436,4821.787553430436,0.12402653102207947,3.7659175068108315,0.044018244383394516,0.0028822224540101535,1
7Networks_LH_SomMot_14-lh,29.859406814674706,54.24441294890104,5773.2227236114695,0.010483991022822662,10.239867233295966,0.033490283521256686,0.004184069011449743,1
7Networks_LH_SomMot_15-lh,44.29234219305338,1.0,3027.578826832742,0.006206656702494168,16.001269879086042,0.02257726619290943,0.007476654917907692,1
7Networks_LH_SomMot_16-lh,28.422301495794187,67.99947605004331,3862.731916079989,0.025503040991038357,9.91381815405506,0.03518363916264754,0.0012423270214294427,1
7Networks_LH_SomMot_2-lh,51.891846483796556,1.0,2176.801029104167,0.0026585168904928558,16.001269879086042,0.0192708501963262,0.003447907933108411,1
7Networks_LH_SomMot_3-lh,38.95082117669517,574.6723199458962,2772.409662134026,0.018658600810419358,6.834674128285746,0.025673399681707204,0.003633662870844369,1
7Networks_LH_SomMot_4-lh,51.065599790839414,1126.5329394854305,3285.5573636888194,0.035447219080563794,5.863596096263384,0.01958265454818742,0.004541618387331103,0
7Networks_LH_SomMot_5-lh,32.26316653477894,1.0,2982.782104268217,0.011409493486660404,16.001269879086042,0.030995097735432242,0.002532625480503589,0
7Networks_LH_SomMot_6-lh,32.51002436497288,4677.410856361044,4677.410856361044,0.12069521336128432,3.809775436053856,0.03075974317255281,0.0035143475325481997,0
7Networks_LH_SomMot_7-lh,19.769212027412614,3697.0851837926275,6278.286375784509,0.10602994193456955,4.149097309670942,0.05058370554240444,0.004029245053327214,1
7Networks_LH_SomMot_8-lh,39.40081740919135,1.0,2419.7768581292817,0.000538525610052965,16.001269879086042,0.025380184111782462,0.0034695382016304817,1
7Networks_LH_SomMot_9-lh,0.0,0.0,inf,0.0,,inf,0.0,1
7Networks_LH_Vis_1-lh,66.71916826582573,1.0,1354.8364732386137,4.7295916242034826e-05,16.001269879086042,0.014988196435779172,0.003059278655589834,1
7Networks_LH_Vis_10-lh,72.79762514196861,1.0,1559.891650445881,4.654447515456763e-05,16.001269879086042,0.013736711850830547,0.005127583316474544,0
7Networks_LH_Vis_11-lh,70.82422037628008,1.0,1593.0165426023718,0.00011765802080026371,16.001269879086042,0.014119463577390998,0.003749742454073517,0
7Networks_LH_Vis_12-lh,66.50993504475782,1.0,1503.1947469867594,4.195603019294466e-05,16.001269879086042,0.015035347716503566,0.0030149887661117918,1
7Networks_LH_Vis_13-lh,75.50640014215877,1.0,1602.3968958745772,0.00014527748413514267,16.001269879086042,0.013243910425040289,0.0065989262836340205,0
7Networks_LH_Vis_14-lh,70.78291556754483,1.0,1701.8543099518508,0.00018690803721513406,16.001269879086042,0.01412770287832728,0.004620586775764445,1
7Networks_LH_Vis_2-lh,81.36271822198817,1.0,1433.3445809357718,8.068038697906658e-05,16.001269879086042,0.012290641486087312,0.004485034580448212,1
7Networks_LH_Vis_3-lh,73.07678046454207,1.0,1405.1082034310523,0.00011738728479841529,16.001269879086042,0.013684237231622633,0.003580629815656364,0
7Networks_LH_Vis_4-lh,77.61468736345779,1.0,1494.4044513967117,4.08965513700641e-05,16.001269879086042,0.01288415935140152,0.0034323251578990775,1
7Networks_LH_Vis_5-lh,98.51432097115043,1.0,1415.8447201352897,0.00011452061930247698,16.001269879086042,0.010150808432134922,0.003162378602166361,0
7Networks_LH_Vis_6-lh,65.31212778738282,1.0,1358.5952968895676,5.11454094936418e-05,16.001269879086042,0.015311092041824164,0.0017207094053508867,0
7Networks_LH_Vis_7-lh,89.17403688551313,1.0,1517.8500300451672,8.868934156174191e-05,16.001269879086042,0.011214026357064656,0.004538313025305287,0
7Networks_LH_Vis_8-lh,63.044055566865744,1.0,1536.431827705496,0.00041073285090843797,16.001269879086042,0.015861923713638326,0.0038373671548937688,0
